note,auteur,assureur,produit,type,date_publication,date_exp,longueur_avis,avis_corrected,avis_en_clean,avis_clean_nlp_en
1.0,rod-90080,Allianz,auto,train,30/05/2020,01/05/2020,221,c'est une honte totale nous avons toutes nos assurances avec allianz ils traitent notre réclamation avec incompétence nous menaçons de les quitter ils annulent néanmoins notre assurance à la fin de ce contrat éviter,it's a total shame we have all our insurance with allianz they handle our complaint with incompetence we threaten to leave them they nevertheless cancel our insurance at the end of this contract avoid,total shame allianz handle complaint incompetence threaten leave nevertheless cancel end avoid
5.0,re-v-109323,L'olivier Assurance,auto,train,06/04/2021,01/04/2021,150,totalement satisfaite de la qualité des prises en charge téléphoniques toujours bien comprise et avec des informations orales suivies d'effets réels,"totally satisfied with the quality of telephone support, always well understood and with oral information followed by real effects",totally satisfied quality telephone support always well understood oral information followed real effects
2.0,drivy619-77243,Néoliane Santé,sante,train,01/07/2019,01/07/2019,198,l'interface téléphonique du service client est assez intuitive mon interlocutrice rira à été très compréhensive et a su m'expliquer les démarches a suivre avec clarté je la remercie pour cela,the customer service telephone interface is quite intuitive my interlocutor laugh was very understanding and was able to explain to me the steps to follow clearly I thank her for that,telephone interface quite intuitive interlocutor laugh understanding able explain steps follow clearly
4.0,vas-m-117400,L'olivier Assurance,auto,train,17/06/2021,01/06/2021,196,je suis très satisfait du service des conseils et de l'écoute la conseillère que j'ai eu par téléphone aimable avec une très bonne qualité d'écoute cordialement,"I am very satisfied with the advice service and the attentiveness of the advisor that I spoke to by telephone, friendly and with very good listening skills. Kind regards",satisfied advice attentiveness advisor spoke telephone friendly good listening skills kind regards
3.0,sophie-m-124360,APRIL Moto,moto,train,23/07/2021,01/07/2021,231,bonjour il est fort regrettable de ne pouvoir bénéficier d'une certaine souplesse sur les tarifs proposés surtout lorsque l'on assure un véhicule supplémentaire et que nous n'avons jamais eu de sinistre ni de retard de paiement,hello it is very regrettable not to be able to benefit from a certain flexibility on the prices offered especially when we insure an additional vehicle and we have never had a claim or late payment,hello regrettable able benefit certain flexibility prices offered especially insure additional never claim late payment
5.0,youssef-n-109465,Direct Assurance,auto,train,07/04/2021,01/04/2021,162,je suis satisfait de direct assurance néanmoins j'aurai voulu pouvoir modifier les titulaire du contrat si possible en ligne ce qui n'est pas le cas actuellement,I am satisfied with direct insurance however I would have liked to be able to modify the contract holder if possible online which is not currently the case,satisfied direct however would liked able modify holder possible online currently case
1.0,transparence06-77667,Cegema Assurances,sante,train,16/07/2019,01/07/2019,102,ne prend pas en compte la résiliation même après avoir donner son accord à l'agent général - documenté,does not take into account the termination even after having given its agreement to the general agent - documented,take account termination given agreement general agent documented
5.0,marjan-n-139070,L'olivier Assurance,auto,train,05/11/2021,01/11/2021,164,le prix magnifique je suis intéressé je le recommande pour chacun il est plus simple et pratique juste le vignette verte j'ai pas reçu pour ma première voiture,the magnificent price I am interested I recommend it for everyone it is simpler and practical just the green sticker I did not receive for my first car,magnificent price interested recommend everyone simpler practical green sticker receive first
5.0,chalnas-107782,L'olivier Assurance,auto,train,24/03/2021,01/03/2021,159,services clients très professionnels réponds aux demandes et apporte des réponses aussi clair que précise à voir dans la durée et à la gestion des dossiers,very professional customer services respond to requests and provide answers that are as clear as they are precise to see over time and manage files,professional services respond requests provide answers clear precise see manage files
1.0,didier56-62610,LCL,credit,train,23/03/2018,01/03/2018,167,nous attendons depuis plus d'un mois une réponse du service médical pour mon épouse ils exigent d'abord que je souscrivent avant d'envoyer la proposition pour madame,we have been waiting for more than a month for a response from the medical service for my wife they first require that I subscribe before sending the proposal for Mrs.,waiting month response medical wife first require subscribe sending proposal mrs
5.0,moussa-s-115488,Direct Assurance,auto,train,01/06/2021,01/06/2021,152,service impeccable a la hauteur de nos attentes et plus encore prix honnête difficile de trouver mieux je recommande vivement a toutes et a tous,impeccable service that meets our expectations and more honest price difficult to find better I highly recommend to everyone,impeccable meets expectations honest price difficult find better highly recommend everyone
1.0,g-104034,Allianz,auto,train,11/02/2021,01/02/2021,2804,assurance à éviter a tout prix prix excessivement cher mais par contre dés qu'il y a le moindre problème c'est le parcours du combattant je me fais choqué la voiture sur le parking de mon lieux de travail centre commercial petit enfoncement sur la porte je déclare le sinistre à mon assurance qui me demande un dépôt de plainte au commissariat un constat rempli que d'une part je m'exécute demi journée de travail perdue à mes frais bien sur mon employeur s'en fou de mes histoires suite a ça après avoir envoyé les dois mon interlocuteur met en doute ma parole super ça commence bien après discussion il me demande de faire un devis j'en fais 3 encore du temps perdu et des allers retours garagistes autre demi journée dans le c je présente les devis réparation 600euro sur laquelle j'ai une franchise de 400euro allianz ouvre mon dossier et me demande d'aller chez un garagiste avec qui ils bossent afin de bénéficier d'une expertise rapide et la dame au téléphone me conseille fortement voir même elle insiste en me sortant des histoires de garanties pièces et d'aller chez celui la et pas chez un garagiste de mon choix autrement dis peuvent bon je trouve ça bizarre mais je le fait encore 2 heures de perdues sur ma journée de travail pour aller faire des photos et 2 semaines plus tard silence radio je rappel ce garage il avait oublié de transmettre mes photos aux experts il finissent par le faire et la je reçois un appel de l'expert me disant que les photos ça ne va pas il faut un rv tout ça pour une simple pliure sur une porte pour une réparation qui coûtera a mon assureur au final que a peine 100euro bon je rappel l'expert et a ma surprise il me demande d'immobiliser le véhicule 1 2 journée ou de passer chez eux afin de faire une expertise je leur explique que j'ai déjà assez perdu de temps comme ça et que je vais sûrement pas perdre encore 1 2 journée de travail pour passer chez eux je leur demande de se déplacer tout simplement étant pas loin de mon lieux de travail ils sont a 3 min c'est un non catégorique donc si je fais mon calcul pour une réparation a 600e avec 400e de franchise et mes 3 demi journée de travail perdues 200e de salaire pour encore aller chez un expert et attendre une réponse qui pourrait être défavorable non merci je lâche l'affaire au final ça me coûte plus avec tout ça que de payer la réparation entièrement moi même du coup je me pose la question a quoi sa sert de payer des assurances si chères tout risque si tout est fait pour vous décourager pour une simple réparation que serait-ce si le choc ou la réparations était plus conséquentes dés que possible je retire mes 2 véhicules de chez eux franchement très mauvaise expérience c'est absurde,insurance to be avoided at all costs excessively expensive price but on the other hand as soon as there is the slightest problem it's an obstacle course I get shocked the car in the parking lot of my workplace shopping center small dent in the door I declare the incident to my insurance who asks me to file a complaint at the police station a report completed that on the one hand I execute half a day of work wasted at my expense of course my employer doesn't care about my stories following that after having sent the duties my interlocutor puts in doubt my word great it starts well after discussion he asks me to make a quote I make 3 more wasted time and return trips to garages another half day in the c I present the repair quotes 600euro on which I have a deductible of 400euro allianz opens my file and asks me to go to a mechanic with whom they work in order to benefit from rapid expertise and the lady on the phone strongly advises me or even insists by telling me stories about guarantees parts and to go to that one and not to a garage of my choice in other words can well I find it strange but I still do it 2 hours lost from my working day to go take photos and 2 weeks later radio silence I call back this garage he had forgotten to send my photos to the experts they end up doing it and then I receive a call from the expert telling me that the photos are not okay I need an appointment all that for a simple bend on a door for a repair which will cost my insurer at final that barely 100euro good I call the expert back and to my surprise he asks me to immobilize the vehicle for 1 2 day or to go to their place in order to carry out an assessment I explain to them that I have already lost enough time as it is and that I am surely not going to lose another 1 2 day of work to spend at their place I ask them to come quite simply as they are not far from my workplace they are 3 minutes away it is a categorical no so if I do my calculation for a repair a 600th with 400th deductible and my 3 half days of work lost 200th salary to still go to an expert and wait for a response that could be unfavorable no thank you I'm giving up on the matter in the end it costs me more with all that than paying for the repair entirely myself so I ask myself the question what's the point of paying such expensive insurance at all risks if everything is done to discourage you for a simple repair what would it be like if the shock or the repairs were more substantial as soon as possible I remove my 2 vehicles from them frankly very bad experience it's absurd,avoided costs excessively expensive price hand soon slightest problem obstacle course get shocked parking lot workplace shopping center small dent door declare incident asks file complaint police station report completed one hand execute half day work wasted expense course employer care stories following sent duties interlocutor puts doubt word great starts well discussion asks make quote make wasted return trips garages another half day present repair quotes 600euro deductible 400euro allianz opens file asks mechanic work order benefit rapid expertise lady phone strongly advises insists telling stories guarantees parts one garage choice words well find strange hours lost working day take photos weeks later radio silence call back garage forgotten send photos experts end receive call expert telling photos okay need appointment simple bend door repair cost insurer final barely 100euro good call expert back surprise asks immobilize day place order carry assessment explain already lost enough surely going lose another day work spend place ask come quite simply far workplace minutes away categorical calculation repair 600th 400th deductible half days work lost 200th salary expert wait response could unfavorable giving matter end costs paying repair entirely ask question what's point paying expensive risks everything done discourage simple repair would like shock repairs substantial soon possible remove vehicles frankly bad experience absurd
5.0,christian-t-125869,APRIL Moto,moto,train,01/08/2021,01/08/2021,218,très bien je suis content du prix en espérant que l'assurance suivra j'ai reçu que des éloges de cette assurance en ce qui concerne la couverture d'assurance ils ont un panel de couverture que aucune autre ne propose,very good I am happy with the price hoping that the insurance will follow I have received only praise from this insurance regarding the insurance coverage they have a range of coverage that no other offers,good happy price hoping follow received praise regarding coverage range coverage offers
4.0,serclerat-c-138238,L'olivier Assurance,auto,train,25/10/2021,01/10/2021,158,ok bon déroulement du contrat et fluidité du site correcte et intuitive tous les éléments étaient clairs et précis je recommande cette assurance à mes proches,"ok smooth running of the contract and smoothness of the site, correct and intuitive, all the elements were clear and precise, I recommend this insurance to my loved ones",smooth running smoothness site correct intuitive elements clear precise recommend loved ones
2.0,eveildujour-133101,L'olivier Assurance,auto,train,16/09/2021,01/09/2021,376,lors de mon renouvellement chez l'olivier assurance j'ai des interrogations sur ma nouvelle adresse postale et le délais d'envoi de ma carte verte c'est compliqué d'arriver sur le numéro de service client et surtout ce numéro n'est jamais accessible le manque d'échange et le labyrinthe que cette société me fait vivre elle ne respecte pas le service dû à sa clientèle,during my renewal at olivier assurance I have questions about my new postal address and the delay in sending my green card it is complicated to reach the customer service number and above all this number is never accessible the lack of exchange and the labyrinth that this company puts me through it does not respect the service due to its customers,renewal olivier assurance questions new postal address delay sending green card complicated reach number number never accessible lack exchange labyrinth company puts respect due customers
2.0,patrice-114867,Afer,vie,train,26/05/2021,01/05/2021,1155,adhérent afer depuis plus de 20 ans je regrette aujourd'hui mon choix l'afer a été une idée remarquable à l'époque mais aujourd'hui le service n'est absolument pas à la hauteur des frais de gestion certes le site interne a été modernisé et est bien plus convivial qu'avant mais il m'est aujourd'hui impossible de faire un rachat partiel alors que mon compte dispose de la provision nécessaire le système informatique me renvoie un message me demandant de faire ma demande par la poste à l'aide d'un imprimé introuvable sur le site ou de contacter mon apporteur' une société locale souvent injoignable tant qu'au numéro de téléphone du vie c'est bienvenue dans le monde de la virtualité version 0 0 car après divers détours dans les sous-tendus la seule aide que j'y ai trouvé est de contacter mon apporter a tous ceux qui pourraient être tentés d'apporter leur épargne à l'afer soyez avertis des problèmes que vous rencontrerez et comme il est impossible de transférer son épargne sans conséquences fiscales il ne vous restera plus qu'à regretter votre choix on est bien loin des nobles idéaux qui ont prévalu à la création de l'afer,Afer member for more than 20 years I regret today my choice Afer was a remarkable idea at the time but today the service is absolutely not up to the management costs certainly the internal site has been modernized and is much more user-friendly than before but it is today impossible for me to make a partial redemption even though my account has the necessary funds the computer system sends me a message asking me to make my request by post using a printout not found on the site or to contact my provider' a local company often unreachable as long as at the telephone number of life it is welcome to the world of virtuality version 0 0 because after various detours in the underlying the only help that I found there is to contact my provider to all those who could be tempted to bring their savings to the afer be warned of the problems that you will encounter and as it is impossible to transfer your savings without tax consequences you will only be left more than regret your choice we are far from the noble ideals which prevailed at the creation of the afer,afer member regret today choice afer remarkable idea today absolutely management costs certainly internal site modernized much user-friendly today impossible make partial redemption though account necessary funds computer system sends message asking make request post using printout found site contact provider local company often unreachable long telephone number life welcome world virtuality version various detours underlying help found contact provider could tempted bring savings afer warned problems encounter impossible transfer savings tax consequences left regret choice far noble ideals prevailed creation afer
1.0,halleldopa-100901,Matmut,auto,train,03/12/2020,01/12/2020,362,je déconseille vivement on vient de se faire dégager sans délai ou presque 2 mois pour trop de sinistre car par malchance on a eu 3 sinistres en 3 ans dont 1 qu'il ne prenne pas en charge comme c'est de toutes façons hors contrat alors que rien du tout les 10 années précédentes même pas un coup de fil juste une pauvre lettre typer violente fuyez,"I strongly advise against it, we have just been released without delay or almost 2 months for too many claims because unfortunately we have had 3 claims in 3 years, 1 of which he does not take care of as it is in any case outside of the contract while nothing at all in the previous 10 years not even a phone call just a poor violent type letter run away",strongly advise released delay almost many claims unfortunately claims take care case outside nothing previous phone call poor violent type letter run away
1.0,hytou-116661,Pacifica,habitation,train,10/06/2021,01/06/2021,907,ne surtout pas souscrire d'assurance chez eux assuré chez eux depuis 11 ans maison et voiture de ma femme et un problème de prélèvement de 44 euros du à une erreur de la banque et on se retrouve résilié sans nous prévenir du jour au lendemain donc on les appels et il nous demande de régler la totalité de la somme sur une année ce qu'on fait et la magie on nous résilie le contrat malgré qu'on ai payé jusqu'en 2022 et on a rien à dire on paye mais on a pas d'assurance ils prennent l'argent mais ne fournisse pas les prestations malgré plusieurs appel de notre banquier ainsi que le directeur d'agence et de nous même ils ne veulent rien entendre il y a gros problème au sein de cette assureur le directeur d'agence lui même reconnaît plusieurs problème avec pacifica avec plusieurs clients fuyez au plus vite vous trouverai bien mieux mon chère et surtout plus compétent chez la concurrence,"above all, do not take out insurance with them, insured with them for 11 years, my wife's house and car and a problem with the withdrawal of 44 euros due to an error by the bank and we find ourselves canceled without warning us overnight so we call them and they ask us to pay the entire amount over a year which we do and the magic we cancel the contract despite the fact that we have paid until 2022 and we have nothing to say we pay but we have no insurance they take the money but do not provide the services despite several calls from our banker as well as the agency director and even from us they do not want to hear anything there is a big problem within this insurer the agency director himself recognizes several problems with pacifica with several clients flee as quickly as possible you will find much better my dear and above all more competent among the competition",take insured wife's house problem withdrawal euros due error bank find canceled warning overnight call ask pay entire amount year magic cancel despite fact paid 2022 nothing say pay take money provide services despite several calls banker well agency director want hear anything big problem within insurer agency director recognizes several problems pacifica several clients flee quickly possible find much better dear competent among competition
5.0,virgou-52523,Néoliane Santé,sante,train,17/02/2017,01/02/2017,264,néoliane me couvre depuis 2 ans et malgré une petite augmentation en janvier 2017 ça reste la complémentaire la plus intéressante pour moi il est important de faire le comparatif chaque année car les économies sont au de et elles sont quand même conséquentes,Néoliane has been covering me for 2 years and despite a small increase in January 2017 it remains the most interesting supplement for me. It is important to make the comparison each year because the savings are greater and they are still significant,oliane covering despite small increase january 2017 remains interesting supplement important make comparison year savings greater significant
1.0,leonor-71211,SwissLife,prevoyance,train,12/02/2019,01/02/2019,410,depuis mai 2018 je ma bats pour me faire prendre en charge des verres correcteurs et une monture seulement swisslife ma fait 3 devis différents et surtout qui ne correspondent pas aux montants du contrat impossible a ce jour d'avoir une personne pour régulariser la situation et je fais un constat nous sommes ce dans cette situation malheureusement que du temps perdu c'est pas une situation normale,since May 2018 I have been fighting to get corrective lenses and one frame only swisslife gave me 3 different quotes and above all which do not correspond to the amounts of the contract impossible to date to have a person to regularize the situation and I make an observation we are in this situation unfortunately that wasted time is not a normal situation,may 2018 fighting get corrective lenses one frame swisslife gave different quotes correspond amounts impossible date person regularize situation make observation situation unfortunately wasted normal situation
5.0,alain-c-96661,APRIL Moto,moto,train,29/08/2021,01/08/2021,165,bonjour je suis passer par les furets nom plusieurs proposition me sont apparus mais april reste pour moi simple rapide et pas chers niveau tarif je conseil,hello I went through the ferrets name several proposals appeared to me but April remains for me simple fast and inexpensive price level I advise,hello went ferrets name several proposals appeared april remains simple fast inexpensive price level advise
1.0,jp--101827,MAAF,auto,train,24/12/2020,01/12/2020,653,de belles promesses à l'inscription mais en réalité des menteurs un sinistre une voiture collée derrière moi je recule pour pouvoir me dégager j'abime le pare choc de la voiture la maaf n'a pas voulu prendre en considération toutes les explications inscrites sur le constat et décide que je suis seul responsable au tel une personne me dit que pour cette fois je ne serais pas faussé hors je reçois les avis d'échéance et bien je suis bel et bien faussé tous nos contrats sont chez eux j'ai eu d'autres propositions d'agence local ou le contact est plus commercial des secrétaires compétentes aimables donc les décisions vont être rapide,"beautiful promises at registration but in reality liars a disaster a car stuck behind me I back up to be able to free myself I damage the bumper of the car the maaf did not want to take into consideration all the explanations written on the report and decides that I am solely responsible at the tel a person tells me that for this time I will not be distorted except I receive the notices of expiry and well I am indeed falsified all our contracts are with them I have had others local agency proposals where the contact is more commercial, friendly competent secretaries so decisions will be quick",beautiful promises registration reality liars disaster stuck behind back able free damage bumper maaf want take consideration explanations written report decides solely responsible tel person tells distorted except receive notices expiry well indeed falsified contracts others local agency proposals contact commercial friendly competent secretaries decisions quick
4.0,yure-ramos-a-126507,L'olivier Assurance,auto,train,04/08/2021,01/08/2021,166,je suis satisfait pour le service et efficace quand on appelle au service rapidement prend le appel je suis content pour été cliente chez ch vous je vous dite merci,I am satisfied with the service and efficient when you call for service quickly takes the call I am happy to have been a customer of ch you I say thank you,satisfied efficient call quickly takes call happy say
1.0,julie-71440,Allianz,prevoyance,train,09/12/2020,01/12/2020,1018,à fuir assurance prévoyance lamentable des délais de traitement plus que longs ils vous réclament en permanence des documents que vous leurs avez déjà transmis ils n'ouvrent certainement pas leurs mais d'ailleurs ils n'y répondent jamais vous devez les appeler tout le temps les relancer par téléphone et lorsque vous les avez on vous dit que ça part en traitement alors que c'est complètement faux vous les rappelez 15 jours plus tard vous en êtes toujours au même point c'est-à-dire nulle part c'est honteux de se moquer des gens comme ça et effectivement pour encaisser il n'y a pas de problème c'est bien réglé de ce côté là personnellement je suis déjà bien affectée par ma maladie et en plus ils m'ajoutent un stress une angoisse supplémentaire à me mettre dans une situation de précarité ils prônent l'excellence 2020 avec plus de 6500 collaborateurs ah on se demande où ils sont à la cafétéria peut-être et si j'avais pu mettre zéro étoile je l'aurais fait,to flee dismal foresight insurance processing times that are more than long they constantly ask you for documents that you have already sent to them they certainly do not open theirs but besides they never answer them you have to call them all the time follow up with them by phone and when you have them they tell you that it is going to be processed when it is completely false you call them back 15 days later you are still at the same point that is to say nowhere it is shameful to make fun of people like that and indeed to collect there is no problem it is well settled on this side personally I am already well affected by my illness and in addition they add stress to me additional anxiety to put me in a precarious situation they advocate excellence 2020 with more than 6500 employees ah we wonder where they are in the cafeteria perhaps and if I could have given zero stars I would have done so,flee dismal foresight processing times long constantly ask documents already sent certainly open besides never answer call follow phone tell going processed completely false call back days later point say nowhere shameful make fun people like indeed collect problem well settled side personally already well affected illness addition add stress additional anxiety put precarious situation advocate excellence 2020 6500 employees wonder cafeteria perhaps could given zero stars would done
4.0,michellon-f-111404,L'olivier Assurance,auto,train,23/04/2021,01/04/2021,181,très satisfait du service bizarre le tarif ne correspondait pas trop aux simulations effectuées sinon la souscription est rapide et facile les documents sont reçues dans la minute,very satisfied with the strange service the price did not really correspond to the simulations carried out otherwise the subscription is quick and easy the documents are received within the minute,satisfied strange price really correspond simulations carried otherwise subscription quick easy documents received within minute
5.0,claude-a-136957,APRIL,sante,train,11/10/2021,01/10/2021,164,je suis satisfait du service les prix me conviennent les garanties me suffisent pour l'instant l'adhésion est rapide simple efficace et pratique bien sincèrement,I am satisfied with the service the prices suit me the guarantees are enough for me for the moment the membership is quick simple efficient and practical sincerely,satisfied prices suit guarantees enough moment membership quick simple efficient practical sincerely
4.0,baptiste-d-124886,APRIL Moto,moto,train,26/07/2021,01/07/2021,150,un bon site pour les renseignements simple vite et rapide je recommande fortement ce site pour les jeunes qui arrive dans le monde dès motard,a good site for simple and quick information I highly recommend this site for young people arriving in the world as bikers,good site simple quick information highly recommend site young people arriving world bikers
4.0,hugo-f-117061,Direct Assurance,auto,train,15/06/2021,01/06/2021,201,le prix est très avantageux le service est réactif il ni a pas 5 étoiles car comme beaucoup d'assurance ils y a plein de clause non comprise dans les forfaits malheureusement globalement satisfait,the price is very advantageous the service is responsive it does not have 5 stars because like many insurance there are lots of clauses not included in the packages unfortunately overall satisfied,price advantageous responsive stars like many lots clauses included packages unfortunately overall satisfied
4.0,sasa-b-132267,Direct Assurance,auto,train,10/09/2021,01/09/2021,168,merci pour cette traitement rapide de mon dossier ça fait plaisir rapide efficace et les tarifs toujours aussi intéressante je vous souhaite une très bonne journée,"thank you for this rapid processing of my file, it's a pleasure, quick, efficient and the prices are always as interesting. I wish you a very good day.",rapid processing file pleasure quick efficient prices always interesting wish good day
3.0,conchita-i-128179,Direct Assurance,auto,train,16/08/2021,01/08/2021,161,je suis satisfaite du site de direct les prix sont abordables et intéressants en espérant qu'en cas de besoin le service sera tout autant réactif et efficace,"I am satisfied with the live site, the prices are affordable and interesting, hoping that if necessary the service will be just as responsive and efficient",satisfied live site prices affordable interesting hoping necessary responsive efficient
5.0,jimmy-c-116703,APRIL Moto,moto,train,11/06/2021,01/06/2021,154,je suis satisfait du service et l'efficacité d'internet pratique rapide merci de votre confiance je ferai part de votre site as les amis tarif avantageux,"I am satisfied with the service and the efficiency of the fast, practical internet, thank you for your trust, I will share your site with friends, advantageous rates",satisfied efficiency fast practical internet trust share site friends advantageous rates
