note,auteur,avis,assureur,produit,type,date_publication,date_exp,avis_en,longueur_avis,avis_clean,avis_corrected,avis_en_clean
5.0,re-v-109323,Totalement satisfaite de la qualité des prises en charge téléphoniques. Toujours bien comprise et avec des informations orales suivies d'effets réels.,L'olivier Assurance,auto,train,06/04/2021,01/04/2021,Completely satisfied with the quality of telephone care. Always well understood and with oral information followed by real effects.,150,totalement satisfaite de la qualité des prises en charge téléphoniques toujours bien comprise et avec des informations orales suivies d'effets réels,totalement satisfaite de la qualité des prises en charge téléphoniques toujours bien comprise et avec des informations orales suivies d'effets réels,"totally satisfied with the quality of telephone support, always well understood and with oral information followed by real effects"
2.0,drivy619-77243,L'interface téléphonique du service client est assez intuitive. Mon interlocutrice ( Erika ) à été très compréhensive et a su m'expliquer les démarches a suivre avec clarté. Je la remercie pour cela,Néoliane Santé,sante,train,01/07/2019,01/07/2019,The customer service telephone interface is quite intuitive. My interlocutor (Erika) was very understanding and knew how to explain the steps to follow with clarity. I thank her for that,198,l'interface téléphonique du service client est assez intuitive mon interlocutrice erika à été très compréhensive et a su m'expliquer les démarches a suivre avec clarté je la remercie pour cela,l'interface téléphonique du service client est assez intuitive mon interlocutrice rira à été très compréhensive et a su m'expliquer les démarches a suivre avec clarté je la remercie pour cela,the customer service telephone interface is quite intuitive my interlocutor laugh was very understanding and was able to explain to me the steps to follow clearly I thank her for that
4.0,vas-m-117400,"Je suis très satisfait du service, des conseils et de l'écoute. La conseillère que j'ai eu par téléphone, aimable avec une très bonne qualité d'écoute.                                
Cordialement",L'olivier Assurance,auto,train,17/06/2021,01/06/2021,"I am very satisfied with service, advice and listening. The advisor I had by phone, kind with a very good listening quality.
Cordially",196,je suis très satisfait du service des conseils et de l'écoute la conseillère que j'ai eu par téléphone aimable avec une très bonne qualité d'écoute cordialement,je suis très satisfait du service des conseils et de l'écoute la conseillère que j'ai eu par téléphone aimable avec une très bonne qualité d'écoute cordialement,"I am very satisfied with the advice service and the attentiveness of the advisor that I spoke to by telephone, friendly and with very good listening skills. Kind regards"
3.0,sophie-m-124360,"Bonjour,
Il est fort regrettable de ne pouvoir bénéficier d'une certaine souplesse sur les tarifs proposés, surtout lorsque l'on assure un véhicule supplémentaire et que nous n'avons jamais eu de sinistre ni de retard de paiement.
",APRIL Moto,moto,train,23/07/2021,01/07/2021,"Hello,
It is very regrettable to not be able to benefit from a certain flexibility on the proposed prices, especially when we provide an additional vehicle and we have never had a claim or delay in payment.
",231,bonjour il est fort regrettable de ne pouvoir bénéficier d'une certaine souplesse sur les tarifs proposés surtout lorsque l'on assure un véhicule supplémentaire et que nous n'avons jamais eu de sinistre ni de retard de paiement,bonjour il est fort regrettable de ne pouvoir bénéficier d'une certaine souplesse sur les tarifs proposés surtout lorsque l'on assure un véhicule supplémentaire et que nous n'avons jamais eu de sinistre ni de retard de paiement,hello it is very regrettable not to be able to benefit from a certain flexibility on the prices offered especially when we insure an additional vehicle and we have never had a claim or late payment
5.0,youssef-n-109465,Je suis satisfait de direct assurance neanmoins j'aurai voulu pouvoir modifier les titulaire du contrat si possible en ligne ce qui n'est pas le cas actuellement ,Direct Assurance,auto,train,07/04/2021,01/04/2021,I am satisfied with direct insurance nevertheless I would have liked to be able to modify the contract holders if possible online which is not currently the case,162,je suis satisfait de direct assurance neanmoins j'aurai voulu pouvoir modifier les titulaire du contrat si possible en ligne ce qui n'est pas le cas actuellement,je suis satisfait de direct assurance néanmoins j'aurai voulu pouvoir modifier les titulaire du contrat si possible en ligne ce qui n'est pas le cas actuellement,I am satisfied with direct insurance however I would have liked to be able to modify the contract holder if possible online which is not currently the case
1.0,transparence06-77667,ne prend pas en compte la résiliation même après avoir donner son accord à l'agent général - documenté,Cegema Assurances,sante,train,16/07/2019,01/07/2019,does not take into account the termination even after having given his agreement to the general - documented agent,102,ne prend pas en compte la résiliation même après avoir donner son accord à l'agent général - documenté,ne prend pas en compte la résiliation même après avoir donner son accord à l'agent général - documenté,does not take into account the termination even after having given its agreement to the general agent - documented
5.0,marjan-n-139070,"Le prix magnifique. Je suis intéressé. Je le recommande pour chacun.
Il est plus simple et pratique.
Juste le vignette verte j'ai pas recu pour ma première voiture.",L'olivier Assurance,auto,train,05/11/2021,01/11/2021,"The magnificent price. I am interested. I recommend it for everyone.
It is simpler and practical.
Just the green sticker I didn't get my first car.",164,le prix magnifique je suis intéressé je le recommande pour chacun il est plus simple et pratique juste le vignette verte j'ai pas recu pour ma première voiture,le prix magnifique je suis intéressé je le recommande pour chacun il est plus simple et pratique juste le vignette verte j'ai pas reçu pour ma première voiture,the magnificent price I am interested I recommend it for everyone it is simpler and practical just the green sticker I did not receive for my first car
5.0,chalnas-107782,"Services clients très professionnels, réponds aux demandes et apporte des réponses aussi clair que précise. À voir dans la durée et à la gestion des dossiers. ",L'olivier Assurance,auto,train,24/03/2021,01/03/2021,"Very professional customer services, responds to requests and provides such clear and precise answers. To be seen over time and management of files.",159,services clients très professionnels réponds aux demandes et apporte des réponses aussi clair que précise à voir dans la durée et à la gestion des dossiers,services clients très professionnels réponds aux demandes et apporte des réponses aussi clair que précise à voir dans la durée et à la gestion des dossiers,very professional customer services respond to requests and provide answers that are as clear as they are precise to see over time and manage files
1.0,didier56-62610,"nous attendons depuis plus d'un mois une réponse du service médical pour mon épouse, ils exigent d'abord que je souscrivent avant d'envoyer la proposition pour Madame.",LCL,credit,train,23/03/2018,01/03/2018,"For more than a month, we have been waiting for a response from the medical service for my wife for more than a month, they first demand that I subscribe before sending the proposal for Madame.",167,nous attendons depuis plus d'un mois une réponse du service médical pour mon épouse ils exigent d'abord que je souscrivent avant d'envoyer la proposition pour madame,nous attendons depuis plus d'un mois une réponse du service médical pour mon épouse ils exigent d'abord que je souscrivent avant d'envoyer la proposition pour madame,we have been waiting for more than a month for a response from the medical service for my wife they first require that I subscribe before sending the proposal for Mrs.
5.0,moussa-s-115488,"Service impeccable, a la hauteur de nos attentes et plus encore.
Prix honnête, difficile de trouver mieux. 
Je recommande vivement a toutes et a tous.

",Direct Assurance,auto,train,01/06/2021,01/06/2021,"Impeccable service, at the height of our expectations and more.
Honest price, difficult to find better.
I highly recommend everyone.

",152,service impeccable a la hauteur de nos attentes et plus encore prix honnête difficile de trouver mieux je recommande vivement a toutes et a tous,service impeccable a la hauteur de nos attentes et plus encore prix honnête difficile de trouver mieux je recommande vivement a toutes et a tous,impeccable service that meets our expectations and more honest price difficult to find better I highly recommend to everyone
